top - 13:53:03 up 103 days,  1:13,  1 user,  load average: 1.72, 1.08, 0.68
Tasks: 173 total,   2 running, 171 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  6.5 sy,  0.0 ni, 93.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  8009720 total,   303240 free,  2074784 used,  5631696 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5115352 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
18727 root      20   0       0      0      0 S   0.0  0.0   0:00.26 kworker/u4:2
19045 root      20   0       0      0      0 S   0.0  0.0   0:00.01 kworker/1:0
19875 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/0:2
20746 root      20   0    1216      4      0 S   0.0  0.0   0:00.00 sleep
20796 root      20   0  113172   1396   1204 S   0.0  0.0   0:00.00 mem_check.sh
23059 root      20   0       0      0      0 S   0.0  0.0   0:02.15 kworker/u4:1
26626 root      20   0  282500   5020   1632 S   0.0  0.1   0:05.41 docker-containe
26644 nfsnobo+  20   0    1012      4      0 S   0.0  0.0   0:00.01 pause
26718 root      20   0  283908   5256   1692 S   0.0  0.1   0:05.04 docker-containe
26737 nfsnobo+  20   0  557080  16888   5400 S   0.0  0.2 169:53.66 node_exporter
27395 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 cfg80211
28130 root      20   0  348036   5016   1624 S   0.0  0.1   2:15.27 docker-containe
28147 root      20   0   10.2g 129708  16076 S   0.0  1.6   1621:31 etcd

top - 13:53:06 up 103 days,  1:13,  1 user,  load average: 1.66, 1.08, 0.68
Tasks: 173 total,   1 running, 172 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.2 us,  2.9 sy,  0.0 ni, 92.4 id,  0.2 wa,  0.0 hi,  0.2 si,  0.2 st
KiB Mem :  8009720 total,   302860 free,  2075136 used,  5631724 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5115000 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
12039 root      20   0 1228844  90852  33684 S   3.7  1.1   2708:33 kubelet
12374 root      20   0 1153616 981108  40964 S   3.7 12.2   8329:45 kube-apiserver
 9425 root      20   0  275208 133848  28968 S   3.0  1.7  52:06.57 kube-controller
28147 root      20   0   10.2g 129708  16076 S   1.3  1.6   1621:31 etcd
11510 root      20   0 1272796  66236  18052 S   1.0  0.8   1045:29 dockerd-current
13585 root      20   0  380572 362116  12764 S   1.0  4.5   1568:09 calico-felix
 9433 root      20   0  139540  29116  14248 S   0.3  0.4  11:03.25 kube-scheduler
11613 root      20   0  210552  13440   3716 S   0.3  0.2 471:15.93 rhel-push-plugi
26737 nfsnobo+  20   0  557080  16888   5400 S   0.3  0.2 169:53.67 node_exporter
    1 root      20   0   43780   4092   2460 S   0.0  0.1   3:40.15 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:01.18 kthreadd
    3 root      20   0       0      0      0 S   0.0  0.0   3:59.22 ksoftirqd/0
    5 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:0H
    7 root      rt   0       0      0      0 S   0.0  0.0   1:58.21 migration/0
    8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
    9 root      20   0       0      0      0 S   0.0  0.0  39:38.47 rcu_sched
   10 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 lru-add-drain
   11 root      rt   0       0      0      0 S   0.0  0.0   0:33.01 watchdog/0
   12 root      rt   0       0      0      0 S   0.0  0.0   0:26.02 watchdog/1
   13 root      rt   0       0      0      0 S   0.0  0.0   1:59.09 migration/1
   14 root      20   0       0      0      0 S   0.0  0.0   5:03.39 ksoftirqd/1
   16 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:0H
   18 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   19 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
   20 root      20   0       0      0      0 S   0.0  0.0   0:03.89 khungtaskd
   21 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
   22 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrityd
   23 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   24 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
   25 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 md
   26 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 edac-poller
